X,dilution,strain_2,sugar_concentration,tube_name,innoc_rep,time,media,replicate,carbon_source,strain_1,estradiol_concentration,Population,Frequency,generation,mean_FSC_A,mean_FSC_H,mean_FSC_W,mean_SSC_A,mean_SSC_H,mean_SSC_W,mean_FITC_A,mean_PE_Texas_Red_A,cv_FSC_A,cv_FSC_H,cv_FSC_W,cv_SSC_A,cv_SSC_H,cv_SSC_W,cv_FITC_A,cv_PE_Texas_Red_A,count,strains
1,10000,yJB077,5,Tube_001,1,1,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,15.59,13,53803.3147757226,44887.0307889673,76614.933716525,38439.8980668259,31977.9332905709,75310.3366515996,141.855423320422,83.9745215842582,46.6539920544188,39.0229780923492,9.01977644579302,67.2312850485073,62.4065696670777,6.03807954678293,76.7965497268571,102.500734223077,1559,yJB064_yJB077
2,10000,yJB077,5,Tube_002,1,1,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,13.89,13,53577.4360207433,44723.2915766739,76414.5984071274,38201.2893955788,31644.6393088553,75742.1752525423,134.274977820095,84.552684735165,46.5031442642697,38.5228286294875,8.75313042901129,64.3494111305064,57.2083928191301,5.73410935318973,72.4826808080505,95.826586391606,1389,yJB064_yJB077
3,10000,yJB077,5,Tube_003,1,1,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,14.41,13,55758.4134986554,46253.6537126995,77118.3229744969,39073.2700385068,32226.3907009021,76230.0719281315,134.975971768748,82.0546281329037,43.8376939172883,35.0029393067958,9.80364509832697,64.9520623434173,58.1975080321285,6.43762936314559,72.0418238140588,99.4655680178046,1441,yJB064_yJB077
4,10000,yJB077,5,Tube_004,2,1,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,19.55,13,55241.3992307385,46047.9734015345,76590.9689158408,37908.2322811351,31215.7002557545,75984.2982896419,129.099338278182,74.7970021787116,44.6166035382837,35.0604378925331,9.01594822015811,64.7812565173993,59.1502224170045,5.99771696598019,72.9533262085279,104.408448515086,1955,yJB064_yJB077
5,10000,yJB077,5,Tube_005,2,1,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,19.12,13,55320.5280577847,46213.0036610879,76556.0891205217,37855.1842196796,31301.2892259414,75867.4596156675,130.20663007048,78.0989952457897,41.852910386748,33.0155499656986,9.19191223304745,64.0374876230414,57.5789168511467,6.15789750885838,71.9171507827481,100.175678194725,1912,yJB064_yJB077
6,10000,yJB077,5,Tube_006,2,1,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,18.46,13,55133.2338010183,45757.3515709642,76743.71991595,38762.6173425015,31846.38624052,76013.8296443323,135.41995412276,80.3666622525675,46.4755976575937,35.9894089371551,9.16286475509074,64.8447179929524,59.562537006282,5.84102813421253,73.576787695687,101.441048810438,1846,yJB064_yJB077
7,10000,yJB077,10,Tube_013,1,1,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,25.61,13,51074.5401420191,43180.0191331511,75524.4817637153,34081.0127469815,28472.1956267083,75206.1974829778,112.52580138572,68.550526524936,47.150545239707,38.2131147540984,7.86622822716927,68.0069550426054,63.1916022907274,4.84045038708331,71.5289572840376,116.663601645399,2561,yJB064_yJB077
8,10000,yJB077,10,Tube_014,1,1,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,23.5,13,51516.4986747839,43441.4587234043,75821.4793450798,35282.1273864486,29549.6970212766,75184.3707912234,120.619556658306,75.9518885927429,43.4945935930256,36.3396952169847,8.03873847022165,64.6343957480138,58.6922048791339,5.26079318421141,71.1648025199946,117.280294685524,2350,yJB064_yJB077
9,10000,yJB077,10,Tube_015,1,1,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,25.6,13,50842.4301628113,42855.084765625,75812.968598938,32885.4086734772,27449.91796875,75323.64894104,111.594600891345,66.2297338760842,47.8848135636738,38.5067976410731,7.72410931666202,66.8310958769241,62.5340031804486,4.80287880381798,72.161957387009,118.105391234303,2560,yJB064_yJB077
10,10000,yJB077,10,Tube_016,2,1,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,25.74,13,51286.8820643332,43277.2653457653,75691.6627740749,34240.7229442107,28588.8791763792,75131.5058745508,110.540154906512,67.7458889975886,45.908975954935,38.4104775401629,7.53524835064568,64.4096114141553,60.4116415079109,4.79932600997271,70.086566517614,122.697917502602,2574,yJB064_yJB077
11,10000,yJB077,10,Tube_017,2,1,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,25.5,13,51962.7330219822,43780.4207843137,75933.2882184436,34582.1558168658,28839.3949019608,75363.1127297794,113.320701423872,68.545246508559,44.9097993814557,36.7523483532577,7.61406174458609,65.0870884737147,59.5840263328043,4.82876976556733,70.9620415023213,117.173173055034,2550,yJB064_yJB077
12,10000,yJB077,10,Tube_018,2,1,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,23.33,13,51301.6749788195,43267.8684097728,75849.8531748955,34768.8128478455,29077.0158594085,75138.1041811777,115.782579049474,70.4409168699907,43.9017445484958,37.1841144063906,7.21682942631616,64.8307530713425,60.51939514891,4.58563931088402,66.7169982102312,123.549963598329,2333,yJB064_yJB077
13,10000,yJB077,20,Tube_025,1,1,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,26.97,13,52884.4742429378,44558.2487949574,76163.9307042547,33102.8758829617,27514.2766036337,75937.0692783649,117.308705188066,59.1832028353828,42.5711075532315,36.6398121217596,6.95520110676817,60.2819049406729,54.3952345669069,4.79342005283343,63.7150871881308,132.144785134829,2697,yJB064_yJB077
14,10000,yJB077,20,Tube_026,1,1,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,26.18,13,54141.9682277741,45319.3426279603,76679.1057582124,34599.5295469839,28611.7139037433,76375.8669308633,125.186336555515,71.49598096941,40.749747473354,34.5073097456644,7.5900947972049,56.7574208803634,51.9433196792246,5.28829447391139,61.7750036156945,123.083758607097,2618,yJB064_yJB077
15,10000,yJB077,20,Tube_027,1,1,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,27.14,13,53740.0184280294,45216.3065585851,76317.096893423,34072.5207545618,28299.4859985262,75996.3030711703,120.272991469801,64.4552022389552,40.561749572145,34.4363580055745,7.32054908565235,57.9355773139064,52.7803613579493,5.33465764951178,62.8622507214316,127.910543421002,2714,yJB064_yJB077
16,10000,yJB077,20,Tube_028,2,1,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,22.63,13,53714.4454251305,44855.5430844012,76827.9622907921,34541.0641307688,28546.6252761821,76411.4818548387,127.10552267698,70.1076441716735,41.3660236064422,34.6379868503444,7.3370697121818,58.5232522372795,53.2545100796999,5.21903708759945,64.172226605717,130.468798068795,2263,yJB064_yJB077
17,10000,yJB077,20,Tube_029,2,1,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,22.14,13,54140.5950834004,45201.251129178,76726.2046317468,35118.9556352155,28993.2037037037,76342.3075686681,127.689194746376,74.0637028604435,41.1728761698151,35.3017320516538,7.38624457115209,59.6160053630557,54.6517527483124,5.1320033336906,63.8658512372136,123.549995742494,2214,yJB064_yJB077
18,10000,yJB077,20,Tube_030,2,1,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,21.14,13,54081.5245124579,45170.2350993377,76742.2720017591,34799.7053402817,28705.5666982025,76325.5050574296,128.093981500126,74.1708226027189,39.288073387934,33.7295632107023,7.24561694232942,56.2618692461468,51.7116473125086,5.30395131539539,59.9830521001663,123.549995742494,2114,yJB064_yJB077
19,10000,yJB077,20,Tube_061,1,1,BD_YNB,1,sucrose,yJB064,0,mCerulean,36.81,13,60482.8777167857,49501.8943221951,77926.3649409552,43987.4406902766,35465.7076881282,77205.2949149772,178.257355671446,133.704328814357,41.6446022322947,33.194607655697,8.75820559408741,64.8086804228705,58.0052328502415,6.76622983380143,68.897255077154,118.308465425814,3681,yJB064_yJB077
20,10000,yJB077,20,Tube_062,1,1,BD_YNB,2,sucrose,yJB064,0,mCerulean,36.11,13,60722.7378369154,49515.6626973138,78300.6747806183,43746.6883031422,35111.0038770424,77674.8722393381,178.826382085281,123.837484579689,43.4060519931549,35.1818229580304,8.5829650987352,66.0780356904654,60.7453827127923,6.77213324885896,69.7693483486766,118.608004598106,3611,yJB064_yJB077
21,10000,yJB077,20,Tube_063,1,1,BD_YNB,3,sucrose,yJB064,0,mCerulean,34.77,13,61557.3987748171,50015.1573195283,78431.877926598,43858.383464946,35041.7647397181,77759.0740625899,178.511603409852,112.990197197549,43.0008958739715,34.4857998953596,8.51458737307553,64.4932696666023,58.907979966611,6.72770395159472,69.664314382987,116.490014075833,3477,yJB064_yJB077
22,10000,yJB077,20,Tube_064,2,1,BD_YNB,1,sucrose,yJB064,0,mCerulean,39.95,13,62406.5639533548,50753.2648310388,78404.3365984825,44409.662347985,35629.6165206508,77593.777725086,182.137618933034,106.946677019228,41.9309284545493,33.2607733844967,8.44785714397909,64.1469422477635,58.2257627881555,6.85383169151132,69.0175799643406,114.724982014213,3995,yJB064_yJB077
